Skills,Degree,Experience,Career
marketing seo writing google analytics,BBA Marketing,1,Digital Marketer
aws azure terraform,B.Tech Computer Science,3,Cloud Engineer
html css javascript react node.js python sql,B.Tech IT,4,Full Stack Developer
html css javascript react node.js python sql,B.Tech CSE,1,DevOps Engineer
python ml pandas scipy sql feature engineering sql,B.Tech Computer Science,4,Data Scientist
spark kafka python sql etl,B.Tech CSE,3,Data Engineer
html css react node.js express sql,B.Tech IT,7,Full Stack Developer
swift ios xcode swiftui uikit mobile,B.Tech CSE,1,iOS Developer
python huggingface transformers nlp bert,M.Sc AI,7,NLP Engineer
sql python spark etl airflow data engineering,B.Tech IT,4,Data Engineer
cybersecurity linux networking python siem,B.Tech Cybersecurity,4,Cybersecurity Analyst
figma ui xd prototyping wireframing,B.Des Design,1,UI/UX Designer
cybersecurity linux networking python siem,B.Tech Information Security,1,Cybersecurity Analyst
javascript react node.js postgresql sql,B.Tech Computer Science,3,Full Stack Developer
html css javascript react typescript redux,B.Sc Computer Science,4,Frontend Developer
python gen ai llm langchain huggingface transformers openai,M.Tech AI,4,AI Engineer
power bi excel sql python data visualization,B.Tech IT,2,Data Analyst
android kotlin java firebase,B.Tech CSE,3,Android Developer
aws terraform kubernetes docker jenkins,B.Tech CSE,4,DevOps Engineer
java android kotlin firebase android studio,B.Tech Computer Science,1,Android Developer
xd figma ui ux prototyping,B.Des Design,6,UI/UX Designer
kotlin android jetpack firebase mobile,B.Tech IT,5,Android Developer
python nlp spacy transformers bert,M.Sc AI,1,UI/UX Designer
html css javascript react redux sql,B.Sc Computer Science,5,Frontend Developer
java python sql git algorithms data structures,B.Tech IT,5,Software Engineer
python huggingface transformers llm gen ai git,B.Tech Computer Science,2,AI Engineer
react node.js python sql javascript python,B.Tech IT,5,Full Stack Developer
python scikit-learn pandas numpy matplotlib sql data science,B.Tech CSE,5,Data Scientist
project management agile leadership communication,MBA,6,Project Manager
python machine learning statistics pandas sql jupyter,B.Tech CSE,3,Data Scientist
sql power bi excel tableau data analysis statistics python,B.Com,4,Data Analyst
java spring boot sql rest api microservices,B.Tech CSE,2,Backend Developer
sql spark hadoop etl airflow python,M.Tech Data Engineering,3,Data Engineer
aws docker kubernetes ci/cd linux terraform jenkins,B.Tech CSE,1,DevOps Engineer
python java flask django sql rest api postgresql javascript,B.Tech CSE,4,Backend Developer
python huggingface transformers nlp bert,B.Tech CSE,2,NLP Engineer
vue.js javascript html css,B.Tech CSE,6,Frontend Developer
python machine learning statistics pandas sql jupyter,M.Sc Data Science,1,Data Scientist
java spring boot sql mongodb rest api,B.Tech CSE,5,Backend Developer
figma ui ux wireframing usability,B.Des Design,4,UI/UX Designer
swift swiftui ios xcode python,B.Tech CSE,7,iOS Developer
python bert huggingface spacy,M.Tech Computational Linguistics,7,NLP Engineer
python ml pandas numpy scipy sql feature engineering python,B.Tech CSE,2,Data Scientist
react nextjs typescript javascript css,B.Tech IT,2,Frontend Developer
power bi excel sql python data visualization,B.Com,7,Data Analyst
aws terraform docker kubernetes azure,B.Tech Computer Science,5,Cloud Engineer
java spring boot sql rest api microservices,B.Tech IT,7,Backend Developer
java android kotlin firebase android studio,B.Tech IT,3,Android Developer
java spring boot mongodb rest api,B.Tech IT,3,Backend Developer
agile scrum jira project management leadership,MBA,7,Project Manager
digital marketing seo social media advertising,B.Com,5,Digital Marketer
kubernetes docker aws terraform jenkins,B.Tech Computer Science,5,DevOps Engineer
python langchain llm openai huggingface,M.Tech AI,5,Backend Developer
python airflow sql etl spark,M.Tech Data Engineering,2,Data Engineer
swift swiftui ios xcode uikit,B.Tech IT,5,iOS Developer
cybersecurity linux networking python siem sql,B.Tech CSE,6,Cybersecurity Analyst
vue.js javascript html css typescript sql,B.Sc Computer Science,1,Frontend Developer
html css javascript react typescript redux,B.Tech CSE,1,Frontend Developer
python tensorflow pytorch scikit-learn mlops,M.Tech AI,4,ML Engineer
python java algorithms git linux,B.Tech IT,3,Software Engineer
react javascript typescript html css tailwind javascript,B.Tech IT,5,Frontend Developer
java python sql git algorithms data structures,B.Tech Computer Science,7,Software Engineer
python pandas numpy scipy sql feature engineering linux,M.Sc Data Science,7,Data Scientist
python huggingface transformers nlp,M.Tech Computational Linguistics,4,NLP Engineer
python pandas numpy scikit-learn sql machine learning,B.Tech Computer Science,3,Data Scientist
sql python excel power bi data analysis git,B.Com,5,Data Analyst
react node.js express mongodb javascript sql,B.Tech CSE,7,Full Stack Developer
python airflow etl spark,B.Tech IT,7,Data Engineer
java android kotlin firebase android studio,B.Tech CSE,6,Android Developer
python c++ java algorithms git linux,B.Tech Computer Science,6,Software Engineer
sql power bi excel tableau data analysis statistics python,B.Sc Statistics,1,Data Analyst
machine learning pytorch docker scikit-learn,M.Tech AI,6,ML Engineer
python huggingface transformers llm gen ai,B.Tech CSE,4,AI Engineer
project management agile scrum leadership communication,PGDM,6,Project Manager
python deep learning pytorch tensorflow docker javascript,B.Tech CSE,5,ML Engineer
figma sketch ui ux wireframing prototyping,BFA,5,UI/UX Designer
python airflow sql etl spark,B.Tech CSE,4,Data Engineer
figma sketch ui ux wireframing prototyping git,B.Des Design,7,UI/UX Designer
